delay_lag_1,delay_lag_7,disruptions_12m,on_time_rate,inventory_days_remaining,chaos_score,demand_surge_score,supplier_fragility,demand_supply_gap,delivery_month,delivery_weekday,is_weekend,month_end,delay_trend,delay_change,vendor_delay_trend,on_time_trend,chaos_trend,delivery_urgency,vendor_risk_score,orders_last_7,demand_volatility,delay_std,high_risk_flag,inventory_risk,chaos_flag,target
0.0,0.0,0.0,1.0,68.8,0.002353361561462446,0.0013359223300970873,0.0,-25900.37843137255,8,2,0,0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,1.0,930.0,0.018466284697101862,0.018058252427184465,0.0,-17288.37843137255,8,0,0,0,0.0,0.0,0.0,0.0,0.016112923135639418,25,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,1.0,300.0,0.022668290125532654,0.005825242718446602,0.0,-23588.37843137255,8,1,0,0,0.0,0.0,0.0,0.0,0.0042020054284307926,43,0.0,0.0,0.0,0.0,0,0,0,1.0
0.0,0.0,0.0,1.0,490.0,0.051134229457006256,0.009514563106796117,0.0,-21688.37843137255,8,0,0,0,0.0,0.0,0.0,0.0,0.0284659393314736,49,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,1.0,1200.0,0.02367734231495002,0.02330097087378641,0.0,-14588.378431372548,9,1,0,0,0.0,0.0,0.0,0.0,-0.027456887142056234,54,0.0,0.0,4618.3015059651525,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,16.0,0.009432999463474485,0.0003106796116504854,0.0,-26428.37843137255,9,2,0,0,0.0,0.0,0.0,0.0,-0.014244342851475536,78,0.0,0.0,4772.936203219146,0.0,0,1,0,1.0
0.0,0.0,0.0,1.0,76.0,0.021315976987256385,0.0014757281553398058,0.0,-25828.37843137255,9,4,0,0,0.0,0.0,0.0,0.0,0.0118829775237819,59,0.0,0.0,4767.56541643636,0.0,0,0,0,0.0
0.0,0.0,0.0,1.0,56.0,0.01444542618721915,0.001087378640776699,0.0,-26028.37843137255,9,1,0,0,0.0,0.0,0.0,0.0,-0.006870550800037234,63,0.0,0.0,5033.932856127502,0.0,0,0,0,0.0
0.0,0.0,0.0,1.0,352.8,0.010384299820842352,0.006850485436893204,0.0,-23060.37843137255,9,0,0,1,0.0,0.0,0.0,0.0,-0.004061126366376799,91,0.0,0.0,4987.714185877134,0.0,0,0,0,1.0
0.0,0.0,0.0,1.0,32.0,0.010185136803317694,0.0006213592233009709,0.0,-26268.37843137255,9,1,0,1,0.0,0.0,0.0,0.0,-0.00019916301752465754,48,0.0,0.0,1395.3912712927497,0.0,0,1,0,1.0
